nameStd,icd10
Granuloma and granuloma-like lesions of oral mucosa,K13.4
Oral submucous fibrosis,K13.5
Irritative hyperplasia of oral mucosa,K13.6
Other and unspecified lesions of oral mucosa,K13.7
Diseases of tongue,K14
Esophagitis,K20
Gastroesophageal reflux disease,K21
Other diseases of esophagus,K22
Ulcer of esophagus,K22.1
Esophageal obstruction,K22.2
Perforation of esophagus,K22.3
Dyskinesia of esophagus,K22.4
"Diverticulum of esophagus, acquired",K22.5
Gastro-esophageal laceration-hemorrhage syndrome,K22.6
Barrett's esophagus,K22.7
Other specified diseases of esophagus,K22.8
"Disease of esophagus, unspecified",K22.9
Disorders of esophagus in diseases classified elsewhere,K23
Gastric ulcer,K25
Duodenal ulcer,K26
"Peptic ulcer, site unspecified",K27
Gastrojejunal ulcer,K28
Gastritis and duodenitis,K29
Functional dyspepsia,K30
Other diseases of stomach and duodenum,K31
Adult hypertrophic pyloric stenosis,K31.1
Hourglass stricture and stenosis of stomach,K31.2
"Pylorospasm, not elsewhere classified",K31.3
Gastric diverticulum,K31.4
Obstruction of duodenum,K31.5
Fistula of stomach and duodenum,K31.6
Polyp of stomach and duodenum,K31.7
Other specified diseases of stomach and duodenum,K31.8
"Disease of stomach and duodenum, unspecified",K31.9
Acute appendicitis,K35
Other appendicitis,K36
Unspecified appendicitis,K37
Other diseases of appendix,K38
Appendicular concretions,K38.1
Diverticulum of appendix,K38.2
Fistula of appendix,K38.3
Other specified diseases of appendix,K38.8
"Disease of appendix, unspecified",K38.9
Inguinal hernia,K40
"Unilateral inguinal hernia, without obstruction or gangrene",K40.9
Femoral hernia,K41
Umbilical hernia,K42
Ventral hernia,K43
Diaphragmatic hernia,K44
Other abdominal hernia,K45
Other specified abdominal hernia with gangrene,K45.1
Other specified abdominal hernia without obstruction or gangrene,K45.8
Unspecified abdominal hernia,K46
Crohn's disease [regional enteritis],K50
Ulcerative colitis,K51
Other and unspecified noninfective gastroenteritis and colitis,K52
Toxic gastroenteritis and colitis,K52.1
Allergic and dietetic gastroenteritis and colitis,K52.2
Indeterminate colitis,K52.3
Other specified noninfective gastroenteritis and colitis,K52.8
"Noninfective gastroenteritis and colitis, unspecified",K52.9
Vascular disorders of intestine,K55
Paralytic ileus and intestinal obstruction without hernia,K56
Diverticular disease of intestine,K57
Irritable bowel syndrome,K58
Other functional intestinal disorders,K59
Functional diarrhea,K59.1
"Neurogenic bowel, not elsewhere classified",K59.2
"Megacolon, not elsewhere classified",K59.3
Anal spasm,K59.4
Other specified functional intestinal disorders,K59.8
"Functional intestinal disorder, unspecified",K59.9
Fissure and fistula of anal and rectal regions,K60
Abscess of anal and rectal regions,K61
Other diseases of anus and rectum,K62
Rectal polyp,K62.1
Anal prolapse,K62.2
Rectal prolapse,K62.3
Stenosis of anus and rectum,K62.4
Hemorrhage of anus and rectum,K62.5
Hemorrhage of anus and rectum,K62.5
Ulcer of anus and rectum,K62.6
Radiation proctitis,K62.7
Other specified diseases of anus and rectum,K62.8
"Disease of anus and rectum, unspecified",K62.9
Other diseases of intestine,K63
Perforation of intestine (nontraumatic),K63.1
Fistula of intestine,K63.2
Ulcer of intestine,K63.3
Enteroptosis,K63.4
Polyp of colon,K63.5
Other specified diseases of intestine,K63.8
"Disease of intestine, unspecified",K63.9
Hemorrhoids and perianal venous thrombosis,K64
Peritonitis,K65
Other disorders of peritoneum,K66
Hemoperitoneum,K66.1
Other specified disorders of peritoneum,K66.8
"Disorder of peritoneum, unspecified",K66.9
Disorders of peritoneum in infectious diseases classified elsewhere,K67
Alcoholic liver disease,K70
Toxic liver disease,K71
"Hepatic failure, not elsewhere classified",K72
"Chronic hepatitis, not elsewhere classified",K73
Fibrosis and cirrhosis of liver,K74
Other inflammatory liver diseases,K75
Phlebitis of portal vein,K75.1
Nonspecific reactive hepatitis,K75.2
"Granulomatous hepatitis, not elsewhere classified",K75.3
Autoimmune hepatitis,K75.4
Other specified inflammatory liver diseases,K75.8
"Inflammatory liver disease, unspecified",K75.9
Other diseases of liver,K76
Chronic passive congestion of liver,K76.1
Central hemorrhagic necrosis of liver,K76.2
Infarction of liver,K76.3
Peliosis hepatis,K76.4
Hepatic veno-occlusive disease,K76.5
Portal hypertension,K76.6
Hepatorenal syndrome,K76.7
Other specified diseases of liver,K76.8
"Liver disease, unspecified",K76.9
Liver disorders in diseases classified elsewhere,K77
Cholelithiasis,K80
Calculus of gallbladder without cholecystitis,K80.2
Cholecystitis,K81
Other diseases of gallbladder,K82
Hydrops of gallbladder,K82.1
Perforation of gallbladder,K82.2
Fistula of gallbladder,K82.3
Cholesterolosis of gallbladder,K82.4
Other specified diseases of gallbladder,K82.8
"Disease of gallbladder, unspecified",K82.9
Other diseases of biliary tract,K83
Cholangitis,K83.0
Obstruction of bile duct,K83.1
Perforation of bile duct,K83.2
Fistula of bile duct,K83.3
Spasm of sphincter of Oddi,K83.4
Biliary cyst,K83.5
Other specified diseases of biliary tract,K83.8
"Disease of biliary tract, unspecified",K83.9
Acute pancreatitis,K85
Other diseases of pancreas,K86
Other chronic pancreatitis,K86.1
Cyst of pancreas,K86.2
Pseudocyst of pancreas,K86.3
Other specified diseases of pancreas,K86.8
"Disease of pancreas, unspecified",K86.9
"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",K87
Intestinal malabsorption,K90
"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified",K91
Other diseases of digestive system,K92
Hematemesis,K92.0
Melena,K92.1
"Gastrointestinal hemorrhage, unspecified",K92.2
Other specified diseases of the digestive system,K92.8
"Disease of digestive system, unspecified",K92.9
Staphylococcal scalded skin syndrome,L00
Impetigo,L01
"Cutaneous abscess, furuncle and carbuncle",L02
Cellulitis and acute lymphangitis,L03
Acute lymphadenitis,L04
Pilonidal cyst and sinus,L05
Other local infections of skin and subcutaneous tissue,L08
Erythrasma,L08.1
Other specified local infections of the skin and subcutaneous tissue,L08.8
"Local infection of the skin and subcutaneous tissue, unspecified",L08.9
Pemphigus,L10
Other acantholytic disorders,L11
Transient acantholytic dermatosis [Grover],L11.1
Other specified acantholytic disorders,L11.8
"Acantholytic disorder, unspecified",L11.9
Pemphigoid,L12
Other bullous disorders,L13
Subcorneal pustular dermatitis,L13.1
Other specified bullous disorders,L13.8
"Bullous disorder, unspecified",L13.9
Bullous disorders in diseases classified elsewhere,L14
Atopic dermatitis,L20
Seborrheic dermatitis,L21
Diaper dermatitis,L22
Allergic contact dermatitis,L23
Irritant contact dermatitis,L24
Unspecified contact dermatitis,L25
Exfoliative dermatitis,L26
Dermatitis due to substances taken internally,L27
Lichen simplex chronicus and prurigo,L28
Pruritus,L29
Other and unspecified dermatitis,L30
Dyshidrosis [pompholyx],L30.1
Cutaneous autosensitization,L30.2
Infective dermatitis,L30.3
Erythema intertrigo,L30.4
Pityriasis alba,L30.5
Other specified dermatitis,L30.8
"Dermatitis, unspecified",L30.9
Psoriasis,L40
Parapsoriasis,L41
Pityriasis rosea,L42
Lichen planus,L43
Other papulosquamous disorders,L44
Lichen nitidus,L44.1
Lichen striatus,L44.2
Lichen ruber moniliformis,L44.3
Infantile papular acrodermatitis [Gianotti-Crosti],L44.4
Other specified papulosquamous disorders,L44.8
"Papulosquamous disorder, unspecified",L44.9
Papulosquamous disorders in diseases classified elsewhere,L45
Urticaria,L50
"Urticaria, unspecified",L50.9
Erythema multiforme,L51
Erythema nodosum,L52
Other erythematous conditions,L53
Erythema annulare centrifugum,L53.1
Erythema marginatum,L53.2
Other chronic figurate erythema,L53.3
Other specified erythematous conditions,L53.8
"Erythematous condition, unspecified",L53.9
Erythema in diseases classified elsewhere,L54
Sunburn,L55
Other acute skin changes due to ultraviolet radiation,L56
Drug photoallergic response,L56.1
Photocontact dermatitis [berloque dermatitis],L56.2
Solar urticaria,L56.3
Polymorphous light eruption,L56.4
Disseminated superficial actinic porokeratosis (DSAP),L56.5
Other specified acute skin changes due to ultraviolet radiation,L56.8
"Acute skin change due to ultraviolet radiation, unspecified",L56.9
Skin changes due to chronic exposure to nonionizing radiation,L57
Radiodermatitis,L58
Other disorders of skin and subcutaneous tissue related to radiation,L59
Other specified disorders of the skin and subcutaneous tissue related to radiation,L59.8
"Disorder of the skin and subcutaneous tissue related to radiation, unspecified",L59.9
Nail disorders,L60
Nail disorders in diseases classified elsewhere,L62
Alopecia areata,L63
Androgenic alopecia,L64
Other nonscarring hair loss,L65
Anagen effluvium,L65.1
Alopecia mucinosa,L65.2
Other specified nonscarring hair loss,L65.8
"Nonscarring hair loss, unspecified",L65.9
Cicatricial alopecia [scarring hair loss],L66
Hair color and hair shaft abnormalities,L67
Hypertrichosis,L68
Acne,L70
Rosacea,L71
Follicular cysts of skin and subcutaneous tissue,L72
Other follicular disorders,L73
Pseudofolliculitis barbae,L73.1
Hidradenitis suppurativa,L73.2
Other specified follicular disorders,L73.8
"Follicular disorder, unspecified",L73.9
Eccrine sweat disorders,L74
Apocrine sweat disorders,L75
Vitiligo,L80
Other disorders of pigmentation,L81
Chloasma,L81.1
Freckles,L81.2
Cafe au lait spots,L81.3
Other melanin hyperpigmentation,L81.4
Staphylococcal scalded skin syndrome,L00
Impetigo,L01
"Cutaneous abscess, furuncle and carbuncle",L02
Cellulitis and acute lymphangitis,L03
Acute lymphadenitis,L04
Pilonidal cyst and sinus,L05
Other local infections of skin and subcutaneous tissue,L08
Erythrasma,L08.1
Other specified local infections of the skin and subcutaneous tissue,L08.8
"Local infection of the skin and subcutaneous tissue, unspecified",L08.9
Pemphigus,L10
Other acantholytic disorders,L11
Transient acantholytic dermatosis [Grover],L11.1
Other specified acantholytic disorders,L11.8
"Acantholytic disorder, unspecified",L11.9
Pemphigoid,L12
Other bullous disorders,L13
Subcorneal pustular dermatitis,L13.1
Other specified bullous disorders,L13.8
"Bullous disorder, unspecified",L13.9
Bullous disorders in diseases classified elsewhere,L14
Atopic dermatitis,L20
Seborrheic dermatitis,L21
Diaper dermatitis,L22
Allergic contact dermatitis,L23
Irritant contact dermatitis,L24
Unspecified contact dermatitis,L25
Exfoliative dermatitis,L26
Dermatitis due to substances taken internally,L27
Lichen simplex chronicus and prurigo,L28
Pruritus,L29
Other and unspecified dermatitis,L30
Dyshidrosis [pompholyx],L30.1
Cutaneous autosensitization,L30.2
Infective dermatitis,L30.3
Erythema intertrigo,L30.4
Pityriasis alba,L30.5
Other specified dermatitis,L30.8
"Dermatitis, unspecified",L30.9
Psoriasis,L40
Parapsoriasis,L41
Pityriasis rosea,L42
Lichen planus,L43
Other papulosquamous disorders,L44
Lichen nitidus,L44.1
Lichen striatus,L44.2
Lichen ruber moniliformis,L44.3
Infantile papular acrodermatitis [Gianotti-Crosti],L44.4
Other specified papulosquamous disorders,L44.8
"Papulosquamous disorder, unspecified",L44.9
Papulosquamous disorders in diseases classified elsewhere,L45
Urticaria,L50
"Urticaria, unspecified",L50.9
Erythema multiforme,L51
Erythema nodosum,L52
Other erythematous conditions,L53
Erythema annulare centrifugum,L53.1
Erythema marginatum,L53.2
Other chronic figurate erythema,L53.3
Other specified erythematous conditions,L53.8
"Erythematous condition, unspecified",L53.9
Erythema in diseases classified elsewhere,L54
Sunburn,L55
Other acute skin changes due to ultraviolet radiation,L56
Drug photoallergic response,L56.1
Photocontact dermatitis [berloque dermatitis],L56.2
Solar urticaria,L56.3
Polymorphous light eruption,L56.4
Disseminated superficial actinic porokeratosis (DSAP),L56.5
Other specified acute skin changes due to ultraviolet radiation,L56.8
"Acute skin change due to ultraviolet radiation, unspecified",L56.9
Skin changes due to chronic exposure to nonionizing radiation,L57
Radiodermatitis,L58
Other disorders of skin and subcutaneous tissue related to radiation,L59
Other specified disorders of the skin and subcutaneous tissue related to radiation,L59.8
"Disorder of the skin and subcutaneous tissue related to radiation, unspecified",L59.9
Nail disorders,L60
Nail disorders in diseases classified elsewhere,L62
Alopecia areata,L63
Androgenic alopecia,L64
